Symbol,Retinal_Cell_Type_Rob,Notes_on_Evidence_Source_Cell_Type
AI593442,Amacrine low,Macosko 2015
Efcab6,,
Sh2d4a,,
Vwde,,
Ispd,,
Kif6,RGC candidate,"SY TSNE cluster 93H, strong RGC signal and known genes such as CDH6, TTC29, MLIP, and also strong Mt signal; possible markers of cellular stress. "
Ptprm,Amacrine,go:0031290
Ntrk3,,
Bsph1,,
Epm2a,RGC prime candidate,SY TSNE cluster 75L. Very high RGC/retina enrichment in Geisert and high retinal epression.
En2,,
Nrn1,RGC reference low,"Ivanov, Macosko 2015,  High covariation in Lu Glaucoma-Aging retina data set with Rbpms2"
Camk4,Amacrine,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Trpc6,,
Umodl1,,
Fer,,
Adam34,,
Mir3085,,Low THY1/CD15 ratio
F8a,,
Gm3173,RGC candidate,"SY TSNE cluster 93H, strong RGC signal and known genes such as CDH6, TTC29, MLIP, and also strong Mt signal; possible markers of cellular stress. "
Actr3b,,
Gm11426,,
Dnm1,RGC candidate,BXD_Thy1_Cov
Trpa1,,
Dscaml1,,
Gm15561,,
Vmn2r110,,
Slc8a3,,
Fam110c,,Low THY1/CD15 ratio
Aldh3a1,,Low THY1/CD15 ratio confirms amacrine cell
Atp6v0a4,,
Zfp385b,"RGC master, amacrine",RGC_Type_35
Gm15594,,
Upp2,,
Cd200r3,,
Eif4ebp2,RGC candidate,BXD_Thy1_Cov
Gm28258,,
Hs3st1,,
1700019A02Rik,,
Ect2l,,
Tln2,,
Fam124b,,Low THY1/CD15 ratio
Gm4907,,Low THY1/CD15 ratio
Cenpp,,
Pdk1,,
Frmd4a,,
Vwc2,Horizontal,
Mir7068,,
Gpr33,,
Acot10,,
Samsn1,Bipolar,
Col5a2,"RGC master, amacrine",RGC_Type_37
Gm37980,,
Vmn1r225,,
Ptpn5,,
Zfp352,,Low THY1/CD15 ratio
4930433N12Rik,,
Ccdc112,,
Amtn,,Low THY1/CD15 ratio
Mir491,,Low THY1/CD15 ratio
Vps8,,
Elmo1,Amacrine,
Hoxd3os1,,
Neurl1a,,
Dfna5,,
Car13,,
Ly6g,,
Xlr3b,,
Esp6Esp5,,
B230323A14Rik,,
Ascc3,,
Akr1c20,,
Tmem232,,
Mir301,,
Gtdc1,,
Nrg1,,
Mdfic,,
Olfr1259,,
Hgf,,
Spef2,,
1700008P02Rik,,Low THY1/CD15 ratio
Rbm47,,
Gm5415,,
Mmp16,,
Musk,,
Adamts14,,
4933400F21Rik,,
Grin3a,,
Ttll11,,
1700066N21Rik,,
Tspyl4,Unknown,
Htr7,,
Malt1,,
Cyp2c40,,
Tmem65,,
Olfr360,,Low THY1/CD15 ratio confirms amacrine cell
Pstpip2,,
Cap2,,
Ms4a4c,,
Adam24,,
Tmem26,,
Naalad2,Pericyte,
Vmn2r62,,
Bhlhe22,Amacrine,Macosko 2015
Cfap58,,
Dlgap2,,
Adamts2,RGC master,RGC_Type_16
Slc35f4,,
Olfr1264,,Low THY1/CD15 ratio
Nlrp9a,,
Dmrt1,,
Dlgap1,"RGC candidate, amacrine",BXD_Thy1_Cov 
Zpld1,,
Ankrd50,,
Mocos,,
Cntn5,Bipolar (BC5),Shekar 2016
Zfp820,,
B3gat2,RGC prime candidate,High covariation with Rbpms2
Ube2cbp,,
Nsun7,,
Mir466k,,
Cngb3,,
Kcnab3,,
Nrgn,RGC candidate,High covariation with Rbpms2
Vmn1r58,,Low THY1/CD15 ratio
Sry,,
Gpam,,
Cdhr3,,
Ly6e,"Horizontal, endothelium",High covariation with all core RGC reference genes except Jam2
Rbmx2,,
Ica1l,,
Cxcl15,,
Slc22a16,,
Sult2a1,,
Slc22a8,,
Ptprz1,"RGC mixed, stresed, bipolar","Conflict, bipolar cell. HIgh RGC expression in Pete Williams and stress-down response."
Sytl5,,
Mir21b,,Low THY1/CD15 ratio
Arhgap44,RGC master,"High covariation with Thy1. Validated covariate of Macosko RGC_PC39. Transcript has strong covariation with other human RGC master  PC1 (r = 0.92, of which it is a member)"
B3gat1,Amacrine,"AKA CD57, http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4870266/, Low THY1/CD15 ratio"
4932412D23Rik,,
Kcnq5,,
Fshr,,
BC049352,,
Olfr1163,,
Spink7,,Low THY1/CD15 ratio
Pgr,,
4930533K18Rik,,
Stim2,,
Olfr1162,,
Dpy19l1,,
Dusp9,,
Vmn1r232,,
Atp4b,,
Scamp5,RGC candidate,BXD_Thy1_Cov
Cpa6,RGC candidate,
Spats2l,,
Edil3,Amacrine,Geisert
Gm14964,,
Bmp6,,
Tppp,Amacrine,High covariation with Rbpms
Vmn1r228,,
RP23-162P5.1,,
Ptprk,"RGC master, amacrine","Conflict with Rheaume, RGC_Type_32, Amacrine"
Nlrp4e,,
Serpinb1a,,
Arhgap10,,
Shank3,,
Gm904,,
Gda,,
C7,,
Tbpl2,,
Vmn2r75,,Low THY1/CD15 ratio
Sptbn2,,
Vmn2r35,,
Asz1,,
Dlc1,,
Arhgap22,RGC candidate,RGC_Type_21
Sfrp1,Fibroblast,
Cnrip1,,
Olfr1265,,Low THY1/CD15 ratio
Tmeff1,,
Phldb2,,
Hoxd3,,
Pald1,,
Wdr7,,
4930444A19Rik,,
Cited2,,Low THY1/CD15 ratio
Recql4,,
Gpd2,,
Fabp5,,FABP5 plays a critical role in lipid metabolism in retinal pigment epithetlial cells
Vmn2r97,,
Fbxo41,,
Herc3,,
Ppp1r36,,
AV026068,,
A730090N16Rik,,
Rxfp1,,
4930556G01Rik,,
Sorbs1,,
Wipf3,,
Gm10649,,
Gm12068,RGC candidate,SY TSNE cluster 90H. Moderate RGC/retina enrichment in Geisert
Gm609,,
Srsf12,,
Chn1os3,,
Nhsl1,,
Olfr1089,,
Lhx3,"Bipolar low (BC1B,BC2)","Shekar 2016, Cepko, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2665264/"
9330182L06Rik,,
Gm3294,,
1810064F22Rik,,
Hells,,
Nr2f2,Amacrine,
Mbnl3,,
Slc27a6,,
Zscan4d,,
Lrrtm1,"Amacrine low, bipolar (BC5D)","Shekar 2016, High covariation with all core RGC reference genes except Jam2"
Oca2,,
Has2os,,
Cnpy1,,
Apex1,,
4930550L24Rik,,
4930455D15Rik,,
Gm38393,,
Xlr3c,,
1700023F02Rik,RGC prime candidate,"SY TSNE cluster 93H, strong RGC signal and known genes such as CDH6, TTC29, MLIP, and also strong Mt signal; possible markers of cellular stress. "
Vmn2r80,,
Col14a1,,
Cnnm1,RGC candidate,BXD_Thy1_Cov
Cd200r4,,
Gabra5,,
Col28a1,RGC master,"RGC_Type_27, SY TSNE cluster 90H. Low RGC/retina enrichment in Geisert"
Vmn2r108,,
Cyp2c39,,
Inpp4b,Amacrine,
Satb2,"RGC mixed, amacrine","Rheaume reference RGC marker, BXD_Thy1_Cov, expressed in ON-OFF directionally selective RGCs and in amacrine cells (Sanes and others), also "
Stmn4,"RGC mixed, amacrine",
3-Sep,RGC reference,"High covariation with all core RGC reference genes, Macosko RGC exclusive"
C630028M04Rik,,
4930415F15Rik,,
Notch3,Pericyte,
Man1a,,
Vmn1r229,,
Shtn1,,
Zfp763,,
Ism2,,
Stap1,,
Wdr18,,
Gm9961,,
Focad,,
Rab39b,,
Gnpnat1,RGC candidate Dec18,
Gja1,Astrocyte low,
Ankrd44,,
Itga8,,
Calcr,,
Nrg2,,
Gm21440,,
Arnt2,,
Lin28b,,
Lamp3,,
Htr2a,RGC master,"RGC_Type_31, Low THY1/CD15 ratio"
Dock11,,
Stmn2,RGC reference,"Ivanov, Pinelli r 0.95 with RBPMS, Pinelli high correlation with TUBB3, Macosko 2015, Wiki_RGC, HSA_ThyRbpms_Cov "
Kctd16,,
Zfyve26,RGC prime candidate,"SY TSNE cluster 75L. Moderate RGC/retina enrichment in Geisert (1.57), moderately high expression in retina (9.6). In situ by Cepko shows  broad expression that is inconsistent with selective RGC marker."
Zfp428,,
Slc16a12,,
Gdpgp1,,
Apba2,RGC candidate,"HSA_ThyRbpms_Cov,  "
Gm20539,,
Xlr5a,,
Pou3f3,Amacrine,Low THY1/CD15 ratio supports amacrine cell but total number too high and therefore likely to be expressed in RGCs
Mctp1,,
Cdh6,RGC master,"Rheaume RGC core marker, Sanes as marker of ON-OFF type RGCs sensitive to vertical motion, coexpressed with Drd4. Part of SY TSNE cluster 93H. Low RGC enrichment in Geisert and moderately high retinal expression. Does not covary with THY1 or RBPMS2 in human retina, but does covary with RPBMS (r = 0.41). Half of these RGC are POU6F2 positive (CRE rerporter mouse), other half with CARTPT (antibody stain). Other direction selective cells (not CDH6 positive) are the ON type which are positive for FSTL4."
Vstm5,,
Hnf4g,,
Mreg,,
Olfr357,,
Calr3,,
Serpinb6c,SY_informative,SY_informative
Gm20909,,
Pla2g10os,,
Rap1gap2,RGC candidate,Geisert High covariation with NF eigengene
Ccdc81,,
Obox1,RGC prime candidate,SY TSNE cluster 90H. High RGC/retina enrichment in Geisert
C230004F18Rik,,Low THY1/CD15 ratio
1700123O21Rik,,Low THY1/CD15 ratio confirms amacrine cell
Usp9y,,
Vmn2r124,,Low THY1/CD15 ratio
Tenm1,Amacrine,
Slc38a11,,
Gm15825,RGC candidate,"SY TSNE cluster 93H, strong RGC signal and known genes such as CDH6, TTC29, MLIP, and also strong Mt signal; possible markers of cellular stress. Low RGC/retina enrichment in Geisert and retinal expression is high"
4930538E20Rik,,Low THY1/CD15 ratio
Polq,,
Sh3bp1,,
Zpbp,,
Mlip,RGC master,"RGC_Type_6, SY TSNE cluster 90H. Low RGC/retina enrichment in Geisert"
Rbms1,"Pericyte, endothelium",
Prlr,,
Bsph2,,
Dab2,"Amacrine, A2 type","Conflict with Rheaume, their RGC_Type_34, but this is THE classic A2 (A II) amacrine cell marker—the most numerous amacrine cell type (Rice and Curran, 2000). We have low THY1/CD15 ratio of 0.67"
6030469F06Rik,,Low THY1/CD15 ratio confirms amacrine cell
Epb4.1l3,RGC master,"Macosko RGC, Geisert RGC enriched, good candidate to confirm by in situ"
Atp10d,,
Zfp618,,
Mog,,
Dsg3,,
Syp,RGC candidate,BXD_Thy1_Cov
Pantr1,RGC master,"RGC_Type_16, SY_informative"
Jakmip2,,
Olfr728,,
Sh3gl3,,
Pcdh7,Amacrine,
Scgn,Bipolar (all),"Shekhar 2016, Cepko, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2665264/, Low THY1/CD15 ratio"
Dner,"RGC mixed, amacrine",Geisert
Casp12,,
Srpx,,
Ppp1r1c,RGC candidate,"HSA_ThyRbpms_Cov, Low THY1/CD15 ratio"
Syt7,Amacrine,
Rfpl4,,
Asap1,Amacrine,
Spic,,
Hmgcll1,,
Pah,,
Slc22a22,,
Gm7173,,
Tfdp1,,
Lama4,Endothelium,
Slc4a9,,
Gm5934,,Low THY1/CD15 ratio
Tpk1,,
Tubb4a,RGC reference low,"High covariation with all core RGC reference genes, probably even better than TUBB3 TUJ"
Gm15943,,
Vip,Amacrine low,"Chintalapudi 2016, Macoklo 2015 PC9, Low THY1/CD15 ratio confirms amacrine cell"
Nox4,,
Mppe1,,
Stambpl1,,
Olfr1218,,
1700019G24Rik,,
Ranbp17,,
Gabra2,Amacrine,PMC2127397
Pnck,,
Kcnip4,"RGC mixed, amacrine, horizontal","Highly enriched RGC expression relative whole retina in Geisert data, Geisert, Macosko 2015"
Gm28551,,
Mir344g,,Low THY1/CD15 ratio
Adgb,,
Cyp2c65,,Upregulated in D2 mutant relative to control by about a factor of 11.8667504714016
Gm27223,,
Olfr1262,,Low THY1/CD15 ratio
Olfr1353,,
Gm5420,,
Adamts15,,
A330050F15Rik,Horizontal,Low THY1/CD15 ratio
Gm805,,
Gm595,,
Prf1,,
Gm7714,,
Rps6kl1,,
Rims2,RGC candidate,"Wiki_RGC,  "
Sh3yl1,,
Usp13,,
Spink10,,Low THY1/CD15 ratio
1700111N16Rik,,
Ly75,,
Ppargc1a,,
Olfr291,,Low THY1/CD15 ratio
Epha7,Bipolar,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Ppm1k,,
C2,,
Gm26564,,
RP23-195B3.5,,Low THY1/CD15 ratio confirms amacrine cell
Themis,,
Drd1,,Low THY1/CD15 ratio
Got1,"RGC mixed, non-specific","Geisert, Low THY1/CD15 ratio"
Gm7854,,
Ntm,Unknown,
Aff3,,
Mroh2a,,
Zfp462,,
Plcl1,,
Tpo,,
Grid1,,
Gm10745,,
Mpp6,Amacrine,
Agbl1,,
Olfr1156,,
D5Ertd615e,,
1700113H08Rik,,
Elfn2,RGC candidate,BXD_Thy1_Cov
Dok6,,
Ralyl,,
Matk,,
Uggt1,,
Tekt3,,
Cftr,RGC prime candidate,"SY TSNE cluster 93H, strong RGC signal and known genes such as CDH6, TTC29, MLIP, and also strong Mt signal; possible markers of cellular stress. "
Vmn2r118,,
Gprin3,"RGC master, amacrine","GENSAT shows reasonable level of label in optic tract, LGN and superior colliculus.. Low RGC/retina enrichment. Will need to validate "
Asah2,,
2810404M03Rik,RGC prime candidate,"SY TSNE cluster 93H, strong RGC signal and known genes such as CDH6, TTC29, MLIP, and also strong Mt signal; possible markers of cellular stress. High RGC/retina enrichment in Geisert"
Zbtb7c,RGC candidate,"HSA_ThyRbpms_Cov, SY_informative"
1500009C09Rik,,
Acvr1c,,
Gpr45,,
Anks1b,Amacrine,
Mgam,,
1700029H14Rik,,
Gm5607,,
Otol1,,Low THY1/CD15 ratio
Cxcl5,,
Runx1t1,Amacrine,
Pclo,Housekeeping,
Kcnq3,,
Smarca1,,
1700007B14Rik,,
Eya4,,
Armc4,,
2700069I18Rik,,
Arfgef3,,
Gm9887,,
Ceacam5,,
Alcam,"RGC mixed, amacrine",Macosko  2015; high covariation with RBPMS in RGC-like stem cells from Langer 
Cldn11,RGC master,RGC_Type_19 
Gnai1,Horizontal,
Cacng2,"RGC candidate, amacrine","Geisert High covariation with NF eigengene, SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75"
Tfap2a,Gaba-ergic amacrine,"Shekar 2016, "
Gm14703,Unknown,
A830018L16Rik,,
Spata16,RGC prime candidate,SY TSNE cluster 90H. High RGC/retina enrichment in Geisert
Ofcc1,,
Lama2,,
Grin2a,,
Col12a1,"RGC master, amacrine","Conflict with Rheaume, RGC_Type_13, Macosko as adult amacrine cell marker"
Kcnh8,RGC prime candidate,SY TSNE cluster 90H. Moderate RGC/retina enrichment in Geisert
Gp1bb,RGC candidate,BXD_Thy1_Cov
Cxcl3,,
Olfr1216,,Low THY1/CD15 ratio confirms amacrine cell
Kcnn2,RGC candidate,HSA_ThyRbpms_Cov
4930509J09Rik,,
Esp6,,Low THY1/CD15 ratio confirms amacrine cell
Strip2,Bipolar low,
Kcnh5,RGC candidate,"SY TSNE cluster 93H, strong RGC signal and known genes such as CDH6, TTC29, MLIP, and also strong Mt signal; possible markers of cellular stress. "
Kcnj5,RGC candidate,SY TSNE cluster 75L. Low  RGC/retina ratio in Geisert and moderate retinal epression.
Uhrf1bp1l,Horizontal,
Pkhd1,,
Gm15592,,
Adgre1,,
Unc5a,SY_informative,SY_informative
Ero1l,,
Rundc3b,,
Sema3a,Amacrine,
Sema3d,,
Ccdc148,,
Cdh10,,
Serpini1,Amacrine,Low THY1/CD15 ratio
Fgfr4,,
Ccdc106,,
St8sia3os,,
Golga7b,RGC prime candidate,High covariation with Rbpms2
Dcaf12l1,,Low THY1/CD15 ratio
Dnah7a,,
Dnah8,,
Gm6634,,
Larp6,,
Ppbp,,
Abca17,,
Tyr,,
Olfr730,,
Htr4,,
Tenm2,"RGC mixed, stresed, amacrine",HIgh RGC expression in Pete Williams and stress-down response.
Hpse2,,
Gm5084,,
Slc1a6,,
Myo3b,,
Sorcs3,,
4930548K13Rik,,
Calb1,"Horizontal, amacrine","Many, Low THY1/CD15 ratio"
Adam18,,
L1cam,RGC reference low,"High covariation with Thy1, Macosko RGC, very high covariation with human RGC master PC1 of 0.94"
Atp2b3,RGC prime candidate,"BXD_Thy1_Cov, Low THY1/CD15 ratio"
Xlr4b,,
Sv2b,,
Hspa12a,Amacrine,Low THY1/CD15 ratio
L3mbtl4,,Low THY1/CD15 ratio
Cntnap2,"Amacrine, bipolar, astrocyte, non-specific",
Slc17a6,"RGC master, amacrine","High covariation with neurofilament eigengene (Geisert data), Macosko 2015, Lu high correlation with Rbpms. Very small population of RGC axons labeled very heavily in optic tract in GENSAT (probably well under 100 large axons) that appear not to terminate in lateral geniculate. Probably terminate in one of the pretectal nuclei. (human, TIGEM-Retina-RNA-Seq) and expression is high (7.2 log2RPKM). Covaries in human retina with MIAT, AHNAK2, SLC6A17, RBPMS, ISLR2, MICAL2, IRX2, SYT2, SCNA4b, ADCY3 (all positive r >0.9)"
Gm4409,,
Lypd2,,Low THY1/CD15 ratio confirms amacrine cell
Snrpn,"RGC mixed, amacrine, horizontal","HSA_ThyRbpms_Cov,  "
Satb1,RGC master,"Rheaume reference, RGC marker, RGC ON-OFF type (Peng et al., 2017). Cepko in situ images not compelling but mainly inner nuclear and outer plexiform layer. "
Glra1,"Bipolar, RGC candidate","BXD_Thy1_Cov, Low THY1/CD15 ratio"
Sgpp2,RGC prime candidate,"High covariation with all core RGC reference genes, high correlation with Macosko RGC39 eigengene, Low THY1/CD15 ratio"
Myo5a,"RGC mixed, bipolar",Geisert
Hectd2,,
Tstd3,,
Rapgef4,,
1700030N03Rik,,
Gabrr1,Bipolar,"Koulen et al., 1998"
Gm20754,,
Arhgef15,,
Ldhc,,
Meox2,,
Cyfip2,"RGC candidate, amacrine",BXD_Thy1_Cov
Mir6965,,
A530053G22Rik,,
Angpt1,"RGC master, amacrine","RGC_Type_40, Low THY1/CD15 ratio"
Brinp1,Amacrine,
Idi2,,Low THY1/CD15 ratio supports amacrine cell but total number too high and therefore likely to be expressed in RGCs
Cntnap5c,,
Ssc5d,,Low THY1/CD15 ratio supports amacrine cell but total number too high and therefore likely to be expressed in RGCs
Phf24,,
Dtwd2,,
Phf24,RGC candidate,"HSA_ThyRbpms_Cov, Low THY1/CD15 ratio"
Mir5134,,
Bscl2,,
Wnt5a,,Low THY1/CD15 ratio
Cpne8,,
Rxfp3,,Low THY1/CD15 ratio confirms amacrine cell
2510009E07Rik,,
Ctnna3,,
Myo10,Endothelium,
2900011O08Rik,RGC candidate,"HSA_ThyRbpms_Cov,  "
2900011O08Rik,"RGC mixed, amacrine",Macosko 2015
Gm17276,,
1700046C09Rik,,
Mir592,,Low THY1/CD15 ratio confirms amacrine cell
Hk3,,
Robo1,RGC candidate,RGC_Type_32
Asxl3,,
Mir130c,,
Slc6a5,Amacrine low,Low THY1/CD15 ratio confirms amacrine cell
Pacsin1,Horizontal,Macosko 2015 
Slc4a4,"RGC master, astrocyte, amacrine","RGC_Type_37, Conflict between Rheaume and Macosko, RGC_Type_37, astrocyte marker cells"
1700011I03Rik,"RGC master, amacrine","RGC_Type_33, SY TSNE cluster 90H. Low RGC/retina enrichment in Geisert"
Gm28376,,
Gabbr2,"RGC mixed, amacrine",Geisert
Sgcz,,
Cadps,Bipolar,
Rpp25,RGC candidate,Low THY1/CD15 ratio
Nanos1,,
Ccnf,,
Rspo2,,
Pcdh8,"RGC candidate, amacrine","BXD_Thy1_Cov, Low THY1/CD15 ratio supports amacrine cell"
Akap5,,Low THY1/CD15 ratio
Slit3,Unknown,go:0031290
Enox1,,
Gm21366,,Upregulated in D2 mutant relative to control by about a factor of 16.5933375235701
Gm26939,,
Bcl11a,,
Tyrp1,,Low THY1/CD15 ratio confirms amacrine cell
Csn1s2b,,Low THY1/CD15 ratio
Frmd3,Bipolar,Low THY1/CD15 ratio
Fam135b,,Low THY1/CD15 ratio
Gm20125,,
Psg16,,
Klhl14,,
Lrp11,Horizontal,Low THY1/CD15 ratio
Pf4,,
Vmn2r56,,
Tac1,"RGC master low, amacrine",Low THY1/CD15 ratio
Ccdc178,,
Mei4,,
2210408I21Rik,,
Pcdhac1,,
Cd226,,
Gm20850,,Upregulated in D2 mutant relative to control by about a factor of 11.0119421747329
Mir6407,,
Prom1,,
Grin1os,,
Gm26658,,
Chrm3,,
Fam150b,RGC master low,"RGC_Type_14, Low THY1/CD15 ratio suggests possible amacrine cell"
C130026I21Rik,RGC candidate,
Csrnp3,,
Ccser1,RGC candidate Dec18,
Cd109,,
Gabra1,Amacrine,"PMC2127397, Low THY1/CD15 ratio"
Kcnk3,,Low THY1/CD15 ratio
Lrp1b,Housekeeping,
Sptbn4,,
Ptchd4,,
Col17a1,,
Vsnl1,RGC reference,"High covariation with all core RGC reference genes except Jam2, high covariation with Thy1 in Lu 2016, Low THY1/CD15 ratio"
Mecom,,
Unc80,"Amacrine, mixed","SY TSNE cluser 18H has a neuronal signature with strong amacrine signal, good RGC signal, and moderate horizontal cell signature (PACSIN1 and ZFP804A), Low THY1/CD15 ratio"
Pdgfd,,
Sp100,,
Ap3b2,,
Syne1,,
Xlr5c,,
Lonrf2,"RGC candidate, amacrine",Low THY1/CD15 ratio supports amacrine cell but total number too high and therefore likely to be expressed in RGCs
Cpne6,"RGC candidate, amacrine",BXD_Thy1_Cov
Ddc,,
Gas6,Amacrine,Low THY1/CD15 ratio
Esam,"Endothelium, bipolar","SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75, SY_informative, Low THY1/CD15 ratio"
Nefm,RGC candidate,Wiki_RGC
Ly6f,,
Zcchc12,Amacrine low,
Lhfpl3,Unknown,
Piezo2,RGC master,"RGC_Type_29, high covariation with RBPMS in Landger RGC-like stem cell data. Good RGC/retina enrichment in Geisert. But low THY1/CD15 ratio"
Kcnma1,Amacrine,
Gabrb3,Amacrine,
Hpgd,Amacrine,Low THY1/CD15 ratio supports amacrine cell
Ece2,RGC candidate,"HSA_ThyRbpms_Cov,  "
Pcdha8,,Low THY1/CD15 ratio
Xlr4c,,
Nodal,,
Tmem59l,Amacrine canddiate,Low THY1/CD15 ratio
Gpr158,RGC candidate,"Geisert, high covariation with NF eigengene"
Pcdha11,,Low THY1/CD15 ratio
Scn1a,"RGC mixed, amacrine","High covariation with human RGC master PC1 of about 0.93, Macosko as both RGC and amacrine cell marker."
Syt16,,
Pcdha2,"RGC mixed, amacrine",Low THY1/CD15 ratio
Neurod6,"RGC master low, amacrine","Conflict with Rheaume, their RGC_Type_31, Macosko 2015 Cluster20 amacrine cell coexpressed with Ppp1r17, but not in data table, Cluster 20 nGnG type, studied by Kay and Sanes as marker with Satb2 for the narrow-field subtype of amacrine cell. We agree with Sanes that higher expression in amacrine cells (THY1/CD15 ratio of 0.30)"
Lims2,RGC master,RGC_Type_19 
Mapk8ip2,RGC candidate,BXD_Thy1_Cov
Gm20479,,
Pcdha12,"RGC master, amacrine","RGC_Type_39, Geisert"
Pcdha1,"RGC mixed, non-specific",
Gm14817,,Low THY1/CD15 ratio
Asns,,
Sirpb1b,,
Dnah7c,,
Mkx,,
Pcdha3,Unknown,"Geisert, Low THY1/CD15 ratio"
9330158H04Rik,,
Pcdha9,,
Pcdha7,,
Tenm3,,
Kcnab1,Amacrine,Low THY1/CD15 ratio
Scg3,"Amacrine, bipolar","Geisert, Low THY1/CD15 ratio"
Anxa10,,
Mctp2,,
Ntrk2,Astrocyte,
Gm15939,,
Gm21119,,
Pcdha6,,Low THY1/CD15 ratio
Slc8a1,,
Gm26918,,
A330102I10Rik,,Low THY1/CD15 ratio
Pcdha5,,
A330015K06Rik,,Low THY1/CD15 ratio
Vwc2l,,
Add2,RGC candidate,"HSA_ThyRbpms_Cov , Low THY1/CD15 ratio "
Grm5,Amacrine,
Mdga2,Housekeeping,
6-Sep,Horizontal,
Pcdhac2,,
Trdn,,
Ly6a,Endothelium,"SY_informative, Low THY1/CD15 ratio"
Samd5,,Low THY1/CD15 ratio supports amacrine cell but total number too high and therefore likely to be expressed in RGCs
Nsg1,"RGC mixed, amacrine","HSA_ThyRbpms_Cov, Pinelli high correlation with TUBB3 "
Syngr3,Amacrine,"HSA_ThyRbpms_Cov, SY_informative "
Epha3,,
Gabrg1,,
Cacnb4,Amacrine,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Ly6c1,Endothelium,"SY_informative, Low THY1/CD15 ratio"
Ccdc85a,,
Vmn2r45,,Low THY1/CD15 ratio supports amacrine cell but total number too high and therefore likely to be expressed in RGCs
4-Mar,,
Abca13,,
Dcc,,Low THY1/CD15 ratio
Plvap,"RGC candidate, stressed",SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Fam155a,"RGC mixed, amacrine","Geisert High covariation with NF eigengene, Low THY1/CD15 ratio"
Fat3,,
Sfxn1,Amacrine,
Zfp787,,
Vegfc,,
Glra3,,
Hecw2,,
Gm16577,,
Egfem1,,Low THY1/CD15 ratio
Spock3,"RGC mixed, amacrine","SY TSNE cluster 75L overlaps Rheaume Types 38 and 40 and overlaps SY TSNE Cluster 79L. 75L is enriched in RGC candidates, neuronal, and glycogen/energy-related genes including, EPM2AIP1 (laforin interacting),  KCNJ1 (Lebers' CA), KCNJ5, SPOCK3 (RGC, amacrine), EPM2A (neuronal, glycogen, stress) ANXA2 (RGC candidate, cell stress), Bckdhb (metabolism), ATP6V1C2 (RGC candidates), GPT2 (Mt).  Geisert High covariation with NF eigengene. But conflict with Macosko who consider Spock3 mainly an amacrine cell marker"
Jph1,,
Guk1,Unknown,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Tfap2b,"Amacrine, horizontal","BXD_Thy1_Cov, Kunzevitsky, PMID:17444492, expressed in amacrine cells but not in RGCs "
Mir218-1,,Low THY1/CD15 ratio confirms amacrine cell
Gabra3,Amacrine,
4930579H20Rik,,Low THY1/CD15 ratio confirms amacrine cell
Morc1,,
Tectb,,Low THY1/CD15 ratio confirms amacrine cell
Soga3,,
Cacna1a,Unknown,PMC2885852
St8sia3,"RGC mixed, horizontal",High covariation with Thy1 and 4 other core RGC signagtures
Usp29,,
GRIN1,RGC candidate,"BXD_Thy1_CovHSA_ThyRbpms_Cov, Low THY1/CD15 ratio"
Nrsn1,Amacrine,Low THY1/CD15 ratio supports amacrine cell but total number too high and therefore likely to be expressed in RGCs
St18,"RGC master, amacrine","Conflict with Rheame. They list as RGC_Type_7, but Macosko as a bipolar cell signature. We see 2X as many amacrine cells expressing this gene, Low THY1/CD15 ratio"
Nlrp1b,,
Snap91,"RGC master, amacrine","Yousefi candidate gene. Muzyky and Badea 2018 show RGC vs retina enriched gene at P3, and enriched in Pou4f1/Brn3a RGCs"
Acr,,
Samd12,,
Ttc29,RGC prime candidate,"SY TSNE cluster 93H, strong RGC signal and known genes such as CDH6, TTC29, MLIP, and also strong Mt signal; possible markers of cellular stress. Geisert High covariation with NF eigengene, but only modest RGC/retina enrichment."
Vmn2r83,,
Kcnh7,,
Gprin1,,
Myo16,RGC candidate,"BXD_Thy1_Cov, Low THY1/CD15 ratio"
Asic2,RGC prime candidate,"Enriched RGC  expression relative whole retina in Geisert data, High covariation with all core RGC reference genes"
Nyap2,,
Xkr4,,
Vmn2r7,"RGC candidate, stressed","SY TSNE cluster 23L contains FBXL7 (apoptosis), EVI1 (MECOM, related to proflieration and apotosis), other genes poorly annotated and low retinal expression"
Plcxd3,RGC prime candidate,High covariation with Rbpms
Ano4,,
Mbp,,Classic oligodendrocyte marker gene
Rab33a,,
Nell1,RGC master,"Wang et al 2007: PMC2885852, Wiki_RGC"
Gsto1,Amacrine low,"Macosko 2015, Low THY1/CD15 ratio"
Gm26688,,
Sphkap,Amacrine,Low THY1/CD15 ratio
Olfr1211,,Low THY1/CD15 ratio confirms amacrine cell
